Random waveform, supplied seed
Total number of intervals = 100 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539)
Average QPS expected = 52869
Timestamp start: 1778425728355
Timestamp end: 1778427228665

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      245.8   349.2    74.4   122.5   136.1   228.5   284.2   310.7   328.1   347.0   371.8   407.7   496.3   838.8  2729.8  76018.7    75954
read      250.3   269.0    74.4   128.4   142.0   250.0   291.3   310.7   323.5   339.2   359.0   388.4   450.3   599.2  1986.9  44417.1    44409
read      229.7    72.4    74.4   136.9   153.7   228.3   252.0   265.2   273.8   285.7   298.9   320.8   374.5   610.9  2588.7  16443.2    16431
read      242.0   122.2    68.9   121.0   133.9   221.5   277.8   305.9   324.0   344.1   369.6   406.9   503.1   920.5  4378.1  85534.1    85707
read      248.4   103.9    74.4   126.6   140.3   240.8   291.0   313.0   327.7   343.9   365.5   396.8   463.6   634.8  2648.4  58333.5    58253
read      244.7   120.7    74.4   125.2   138.8   223.5   274.5   303.0   321.7   343.2   369.7   410.4   531.1  1186.0  3545.2 103804.3   103867
read      238.6    83.1    74.4   136.6   151.4   239.3   266.1   279.8   290.0   301.5   316.7   340.5   393.0   584.6  2020.2  21546.7    21604
read      240.8   103.0    74.4   122.0   135.4   221.4   275.7   304.0   322.3   343.2   368.8   405.0   496.7   776.3  2463.7  90443.8    90401
read      241.7   104.9    74.4   121.9   135.3   223.7   278.5   306.1   323.9   343.8   368.6   404.1   491.7   752.1  2329.9  84577.4    84467
read      258.5   152.5    74.4   126.4   140.7   232.8   286.7   315.3   335.5   358.9   388.9   438.3   668.8  1723.6  4914.7  99813.8    99700
read      245.1    83.6    74.4   131.6   146.1   246.8   279.0   295.0   306.9   319.3   337.6   364.9   422.9   598.1  2174.9  32046.4    32052
read      237.7    87.1    80.4   138.3   155.3   235.0   260.9   274.2   285.1   296.4   313.5   340.1   405.5   658.9  2661.3  18185.4    18173
read      246.4   104.3    74.4   124.1   137.8   233.2   287.7   312.3   328.6   346.2   369.2   402.3   479.5   725.0  2500.2  67840.2    67789
read      247.7    97.5    74.4   126.3   139.7   244.1   290.7   311.3   325.0   341.1   361.5   391.4   454.4   606.0  2213.4  51944.0    51929
read      243.0   103.8    74.4   121.9   135.1   224.3   280.9   308.7   327.0   346.8   371.9   409.2   497.5   743.9  2439.9  83877.7    83850
read      234.3    75.3    80.4   137.8   153.6   234.1   259.0   271.8   281.4   292.4   307.1   329.2   379.3   598.9  2771.8  18657.9    18614
read      242.2    90.6    80.4   130.8   145.8   243.1   273.5   289.2   299.9   313.4   330.6   357.7   417.2   583.8  2332.4  29313.9    29315
read      249.2   126.2    74.4   125.8   139.6   226.5   277.8   306.5   326.0   348.0   375.8   422.3   584.8  1307.5  3450.3 108029.9   108090
read      242.8    90.8    68.9   132.5   147.2   244.5   274.0   289.4   299.7   312.8   328.8   354.0   406.2   597.4  2326.3  27017.7    27024
read      248.1    94.7    74.4   125.6   139.3   245.3   289.8   310.1   323.6   340.0   360.9   392.1   458.9   627.4  2319.9  49872.3    49907
read      216.4    79.5    80.4   142.8   158.4   211.7   231.1   242.4   250.6   260.9   273.5   295.4   350.2   643.9  3149.6   9150.1     9150
read      245.9    88.3    74.4   130.8   145.1   247.9   281.4   297.4   309.7   322.4   340.8   368.0   425.7   585.7  2114.4  34220.8    34328
read      249.5    97.3    74.4   127.2   141.0   245.8   290.6   311.4   325.5   341.8   362.8   393.8   460.9   622.6  2318.9  51915.3    51881
read      230.5    76.8    86.8   140.3   157.9   227.3   250.7   263.9   272.9   285.2   299.7   324.0   384.3   624.6  2900.4  14555.7    14569
read      242.0   107.0    74.4   121.7   135.1   224.5   279.6   306.6   324.1   343.9   368.3   403.4   490.3   759.0  2470.6  81338.2    81517
read      243.2   107.4    74.4   122.8   136.5   226.1   281.6   308.3   325.6   344.8   368.8   403.1   485.6   720.9  2505.1  78742.1    78694
read      243.5   111.5    74.4   122.7   136.2   223.1   276.8   305.1   323.7   344.6   370.6   410.5   525.3  1028.6  2622.7  93525.1    93409
read      244.6    91.3    74.4   126.7   140.4   246.1   282.6   299.9   312.4   326.4   344.1   371.8   431.5   595.6  2272.0  39076.9    39093
read      232.8    88.9    80.4   136.1   153.0   230.3   255.5   269.4   279.2   291.5   307.7   333.6   396.3   614.8  2355.7  18684.5    18729
read      244.3   103.1    74.4   122.0   135.4   229.6   285.1   310.5   327.2   345.5   369.1   402.9   485.7   750.1  2273.2  70882.9    70818
read      246.5    89.2    80.4   139.1   156.4   243.5   272.2   287.9   298.4   312.6   330.5   360.0   431.4   716.8  3123.8  22049.9    21942
read      254.1   153.1    74.4   123.1   137.1   228.7   284.2   313.2   333.0   355.4   384.0   431.2   631.3  1850.1  4646.9  91810.9    91810
read      244.6   103.0    74.4   125.4   139.1   245.9   282.9   300.6   313.1   327.5   345.2   373.0   433.0   617.4  2753.3  39563.7    39588
read      246.9    90.0    74.4   127.1   140.4   248.6   287.2   305.7   317.9   333.2   351.1   379.0   436.6   569.9  1849.9  40883.3    40957
read      248.3    99.1    74.4   124.1   137.6   237.6   291.8   315.6   331.7   349.1   371.0   403.2   478.0   752.4  2044.3  62662.6    62645
read      230.8    84.5    80.4   139.9   155.7   228.9   252.3   265.3   273.7   285.8   299.6   322.1   373.9   615.2  2601.9  15531.3    15539

Total QPS = 52873.8 (79310648 / 1500.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 19589729315 bytes :   12.5 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 100.00%,49.75%,100.00%
